Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,0.08071111919543711,0.19843663745997867,0.40720913117302254,0.5653950912906072,0.9006169330316162,0.9542182173712179
200,0.17180148980595233,0.28377624523100886,0.2576731000657489,0.6257947276825041,0.6131675263976641,0.9164744570456853
300,0.13338240696373815,0.3745179497707187,0.04710921872096056,0.5669845556081197,0.44090996554391887,0.8812469526576105
400,0.09310436337621378,0.5366857568511452,0.09921483517489287,0.4441416835304143,0.4168112586115771,0.8820157998900183
500,0.23531693093694891,0.4747090315418416,0.2890792160670351,0.4448228796003671,0.36350491685245295,0.7923394134628249
600,0.18047681249610875,0.578791020375613,0.03675944613512194,0.39009990270332817,0.46606901807082,0.7998881681524761
700,0.20433382048500714,0.7490185801803709,0.28765166533970393,0.373978194171553,0.5087719292213007,0.846438798013666
800,0.2658352688503052,0.7969602257738907,0.3201284741991761,0.3705721967693993,0.5339309801193979,0.8309918305142552
900,0.20479852831907666,0.8147646334235925,0.10563882835422694,0.46276111951154464,0.40717177410124955,0.8504228699146412
1000,0.28798828340976595,0.8688205822729723,0.12276946689488873,0.538601267938954,0.4309812975660529,0.7628433686844187
1100,0.16746382846087407,0.812958138164042,0.17201998189415865,0.6323796528670631,0.4198958930033604,0.44977983023001705
1200,0.004492628660950787,0.8286607740210513,0.25374730575290066,0.807674849980537,0.5080971645997627,0.1321031742620879
1300,0.1770686962282016,0.602831320857241,0.21127765670845394,0.660308811101856,0.2619047653519661,0.04983577239922543
1400,0.21269924089567668,0.29544898383118073,0.2162740842541131,0.743415081210087,0.3429728184469217,0.09547778490268746
1500,0.41827234050560025,0.332968529780682,0.5724482441310893,0.6821071706022943,0.17996915696798363,0.32550502964455985
1600,0.6232451245567757,0.0,0.7030692251199558,0.6226157999000986,0.24561402905511207,0.6996575166072984
1700,0.24244309810450834,0.2691852987644922,0.6602426883936763,0.46934604043300626,1.0,0.9581323845254485
1800,0.09744196001677606,0.2519541190159329,0.2780156979302184,0.6403269701915278,0.7222864795443577,0.9807786354716789
1900,0.21145992294805063,0.3139308431644213,0.2669521648870579,0.5068119862781127,0.49884325961463083,0.9135388119959275
2000,0.12005968241030633,0.4430258548924264,0.25160597966190384,0.2892824495143757,0.47773279282619713,0.9164744570456853
2100,0.14515604069908883,0.48818827120563935,0.07815843213407027,0.4291553060449912,0.37584345803915026,0.8776123519994666
2200,0.20557310608037527,0.6100573076995182,0.17451819566698823,0.4118982749930587,0.45594755960644334,0.8517509026301152
2300,0.1219187078601325,0.7630536703434905,0.24768023006808682,0.47593096561756537,0.4973009415138481,0.8444817275592738
2400,0.29480455476828993,0.7979329539905717,0.29835831070103164,0.47366030352486116,0.458646615377922,0.8477668307291398
2500,0.1854340842866131,0.852562090112566,0.26409706343239553,0.47048137574245585,0.4726238663795822,0.8026839905860207
2600,0.24120374780462425,0.8620114731480545,0.1791577355308146,0.6289736597280069,0.41970310233587144,0.6973509539137177
2700,0.19705275070609127,0.8984193180989122,0.3315488859803631,0.6993642101804216,0.45382687312275827,0.3731040863569673
2800,0.03206755814046931,0.7670835559921768,0.2587437631112473,0.5072661178440341,0.5426065185314096,0.14929755046654886
2900,0.06150157777432996,0.4840194336696621,0.3301213367436663,0.4336966302303996,0.3385386530022803,0.1410498532912347
3000,0.07420462717781971,0.4263505082309625,0.2209136390242832,0.3321979852345917,0.23876999384022538,0.20814986727349635
3100,0.44398834806251836,0.23652940550654689,0.6566737817626609,0.8612624830419315,0.31077694347623114,0.34954919180756255
3200,0.553687983358102,0.14952226945385327,0.6877230398948018,0.521571294996407,0.320127239270652,0.5760117537607592
3300,0.5002420854762445,0.1147819585887344,0.33797287319715974,0.3989554899805915,0.8171389920685934,0.846648486008454
3400,0.14112818457672355,0.27085283285023104,0.4232690857993047,0.4568573946600358,0.8395025972908141,0.9680575856590681
3500,0.0955829992714659,0.2690463491988315,0.3004996367920284,0.3583106206161771,0.518893384066113,0.9113720797921937
3600,0.1790825595848682,0.4089803498963653,0.24054247643143084,0.380790184712763,0.4337767479473632,0.8815964239004421
3700,0.14112818457672355,0.5459961613005958,0.0945753102174102,0.44459581850681357,0.43281279895339575,0.8929894409975789
3800,0.21610738951584188,0.673006765868763,0.2908636544761991,0.429836502114944,0.4143049926026963,0.8736282932212145
3900,0.21781151235431148,0.8299114245853554,0.1941470330741359,0.5038601238523583,0.40177366436807443,0.8851611066891178
4000,0.21610738951584188,0.833941298625891,0.15774447462084668,0.3626248751818371,0.456236744159851,0.9196197638447846
4100,0.1515075654008336,0.8143477499021577,0.2483940054317524,0.4166666560089233,0.436572197966717,0.7838121235459776
